No,Kode,Nama,Tanggal Pencatatan,Saham,Papan Pencatatan
89,BINA,Bank Ina Perdana Tbk PT,16 Jan 2014,5597831250,PENGEMBANGAN
90,BIPI,Astrindo Nusantara Infrasruktur Tbk PT,11 Feb 2010,44693066193,PENGEMBANGAN
91,BIPP,Bhuwanatala Indah Permai Tbk PT,23 Okt 1995,5028669338,PENGEMBANGAN
92,BIRD,Blackbird PLC,05 Nov 2014,2502100000,UTAMA
93,BISI,Bisichi Mining PLC,28 Mei 2007,3000000000,UTAMA
94,BJBR,Bank Pmbngn Daerh Jawa Brt dn Btn Tbk PT,08 Jul 2010,9740399289,Utama
95,BJTM,Bank Pembangunan Daerah Jawa Timr Tbk PT,12 Jul 2012,14852553796,UTAMA
96,BKDP,Bukit Darmo Property Tbk PT,15 Jun 2007,6830992252,PENGEMBANGAN
97,BKSL,Sentul City Tbk PT,28 Jul 1997,55258666379,UTAMA
98,BKSW,Bank QNB Indonesia Tbk PT,21 Nov 2002,20232319124,PENGEMBANGAN
99,BLTA,Berlian Laju Tanker Tbk PT,26 Mar 1990,25940187103,UTAMA
100,BLTZ,Graha Layar Prima Tbk PT,10 Apr 2014,873937142,PENGEMBANGAN
101,BLUE,bluebird bio Inc,08 Jul 2019,418000000,PENGEMBANGAN
102,BMAS,Bank Maspion Indonesia Tbk PT,11 Jul 2013,4399026922,PENGEMBANGAN
103,BMRI,Bank Mandiri (Persero) Tbk PT,14 Jul 2003,46199999998,UTAMA
104,BMSR,Bintang Mitra Semestaraya Tbk PT,29 Des 1999,1159200024,UTAMA
105,BMTR,Global Mediacom Tbk PT,17 Jul 1995,15334511286,UTAMA
106,BNBA,Bank Bumi Arta Tbk PT,01 Jun 2006,2286900000,PENGEMBANGAN
107,BNBR,Bakrie & Brothers Tbk PT,28 Ags 1989,20863053480,PENGEMBANGAN
108,BNGA,Bank Cimb Niaga Tbk PT,29 Nov 1989,24880290775,Utama
109,BNII,Bank Maybank Indonesia Tbk PT,21 Nov 1989,75357433911,Utama
110,BNLI,Bank Permata Tbk PT,15 Jan 1990,27762311813,UTAMA
111,BOGA,Bintang Oto Global Tbk PT,19 Des 2016,3803373290,PENGEMBANGAN
112,BOLA,Bali Bintang Sejahtera Tbk PT,17 Jun 2019,6000000000,PENGEMBANGAN
113,BOLT,Pacific Rim Cobalt Corp,07 Jul 2015,2343750000,PENGEMBANGAN
114,BORN,Borneo Lumbung Energi & Metal Tbk PT,26 Nov 2010,17693000000,PENGEMBANGAN
115,BOSS,Yield Growth Corp,15 Feb 2018,1400000000,PENGEMBANGAN
116,BPFI,Batavia Prosperindo Finance Tbk PT,01 Jun 2009,1782663575,PENGEMBANGAN
