No,Kode,Nama,Tanggal Pencatatan,Saham,Papan Pencatatan
304,IRRA,ITAMA RANORAYA ORD,15 Okt 2019,1600000000,Pengembangan
305,ISAT,ISA Internationale Inc,19 Okt 1994,5433933500,UTAMA
306,ISSP,Steel Pipe Industry of Indonesia Tbk PT,22 Feb 2013,7185992035,UTAMA
307,ITIC,Investors Title Company,04 Jul 2019,940720000,PENGEMBANGAN
308,ITMA,Sumber Energi Andalan Tbk PT,10 Des 1990,870701000,PENGEMBANGAN
309,ITMG,Indo Tambangraya Megah Tbk PT,18 Des 2007,1129925000,UTAMA
310,ITTG,Leo Investments Tbk PT,26 Nov 2001,1379000000,PENGEMBANGAN
311,JAST,Jasnita Telekomindo Tbk PT,16 Mei 2019,813626700,PENGEMBANGAN
312,JAWA,Jaya Agra Wattie Tbk PT,30 Mei 2011,3774685500,UTAMA
313,JAYA,Armada Berjaya Trans Tbk PT,21 Feb 2019,375000105,PENGEMBANGAN
314,JECC,Jembo Cable Company Tbk PT,18 Nov 1992,151200000,PENGEMBANGAN
315,JGLE,Graha Andrasentra Propertindo Tbk PT,29 Jun 2016,22581909405,PENGEMBANGAN
316,JIHD,Jakarta International Hotls & Dev Tbk PT,29 Feb 1984,2329040482,PENGEMBANGAN
317,JKON,Jaya Konstruksi Manggala Pratama Tbk PT,04 Des 2007,16308519860,UTAMA
318,JKSW,Jakarta Kyoei Steel Works Tbk PT,06 Ags 1997,150000000,PENGEMBANGAN
319,JMAS,Asuransi Jiwa Syariah Js Mtr Abd Tbk PT,18 Des 2017,1000000000,PENGEMBANGAN
320,JPFA,Japfa Comfeed Indonesia Tbk PT,23 Okt 1989,11726575201,UTAMA
321,JRPT,Jaya Real Property Tbk PT,29 Jun 1994,13750000000,UTAMA
322,JSKY,Sky Energy Indonesia Tbk PT,28 Mar 2018,2032540000,UTAMA
323,JSMR,Jasa Marga (Persero) Tbk PT,12 Nov 2007,7257871200,UTAMA
324,JSPT,Jakarta Setiabudi Internasional Tbk PT,12 Jan 1998,2318736000,PENGEMBANGAN
325,JTPE,Jasuindo Tiga Perkasa Tbk PT,16 Apr 2002,1713012500,PENGEMBANGAN
326,KAEF,Kimia Farma (Persero) Tbk PT,04 Jul 2001,5554000000,UTAMA
327,KARW,ICTSI Jasa Prima Tbk PT,20 Des 2008,587152700,PENGEMBANGAN
328,KAYU,Darmi Bersaudara Tbk PT,04 Jul 2019,665000000,PENGEMBANGAN
329,KBLI,KMI Wire and Cable Tbk PT,06 Jul 1992,4007235107,UTAMA
330,KBLM,KBL MERGER CORP/SH,01 Jun 1992,1120000000,PENGEMBANGAN
331,KBLV,PT First Media Tbk,25 Feb 2000,1742167907,PENGEMBANGAN
332,KBRI,PT Kertas Basuki Rachmat Indonesia Tbk,11 Jul 2008,8687995734,PENGEMBANGAN
333,KDSI,Kedawung Setia Industrial Tbk PT,29 Jul 1996,405000000,PENGEMBANGAN
334,KEEN,Kencana Energi Lestari PT,02 Sep 2019,3666312500,Utama
335,KIAS,Keramika Indonesia Assosiasi Tbk PT,08 Des 1994,14929100000,PENGEMBANGAN
336,KICI,Kedaung Indah Can Tbk PT,28 Okt 1993,276000000,UTAMA
337,KIJA,Kawasan Industri Jababeka Tbk PT,10 Jan 1995,20824888369,UTAMA
338,KINO,Kino Indonesia Tbk PT,11 Des 2015,1428571500,PENGEMBANGAN
339,KIOS,Kioson Komersial Indonesia Tbk PT,05 Okt 2017,717239900,PENGEMBANGAN
340,KJEN,Krida Jaringan Nusantara Tbk PT,01 Jul 2019,500000000,PENGEMBANGAN
341,KKGI,Resource Alam Indonesia Tbk PT,01 Jul 1991,5000000000,UTAMA
342,KLBF,Kalbe Farma Tbk PT,30 Jul 1991,46875122110,UTAMA
343,KMTR,Kirana Megatara Tbk PT,19 Jun 2017,8215366379,PENGEMBANGAN
344,KOBX,Kobexindo Tractors Tbk PT,05 Jul 2012,2272500000,UTAMA
345,KOIN,EXCHANGE TRADED/INNOVATION SHS NEXT,09 Apr 2008,980843732,PENGEMBANGAN
346,KONI,Perdana Bangun Pusaka Tbk PT,22 Ags 1995,152000000,PENGEMBANGAN
347,KOPI,Mitra Energi Persada Tbk PT,04 Mei 2015,697266668,PENGEMBANGAN
348,KOTA,Pt Dms Propertindo Tbk,09 Jul 2019,10488809600,UTAMA
349,KPAL,Steadfast Marine Tbk PT,08 Jun 2018,1069009400,UTAMA
350,KPAS,Cottonindo Ariesta Tbk PT,05 Okt 2018,768042782,PENGEMBANGAN
351,KPIG,MNC Land Tbk PT,30 Mar 2000,74079122790,Pengembangan
352,KRAH,PT Grand Kartech Tbk,08 Nov 2013,971190000,PENGEMBANGAN
353,KRAS,Krakatau Steel (Persero) Tbk PT,10 Nov 2010,19346396900,UTAMA
354,KREN,Kresna Graha Investama Tbk PT,28 Jun 2002,18208470100,UTAMA
355,LAND,Gladstone Land Corp,23 Ags 2018,2792620000,PENGEMBANGAN
356,LAPD,Leyand International Tbk PT,17 Jul 2001,3966350139,PENGEMBANGAN
357,LCGP,Eureka Prima Jakarta Tbk PT,13 Jul 2007,5630000914,PENGEMBANGAN
358,LCKM,LCK Global Kedaton Tbk PT,16 Jan 2018,1000000000,PENGEMBANGAN
359,LEAD,REALITY SHS ETF/DIVCON LEADERS DIVI,11 Des 2013,4049616328,UTAMA
360,LIFE,aTyr Pharma Inc,09 Jul 2019,2100000000,UTAMA
361,LINK,Interlink Electronics Inc,02 Jun 2014,3042649384,UTAMA
362,LION,Global Li-Ion Graphite Corp,20 Ags 1993,520160000,UTAMA
363,LMAS,Limas Indonesia Makmur Tbk PT,28 Des 2001,787851525,PENGEMBANGAN
364,LMPI,Langgeng Makmur Industri Tbk PT,17 Okt 1994,1008517669,PENGEMBANGAN
365,LMSH,Lionmesh Prima,04 Jun 1990,96000000,PENGEMBANGAN
366,LPCK,Lippo Cikarang Tbk PT,24 Jul 1997,2679600000,UTAMA
367,LPGI,Lippo General Insurance Tbk PT,22 Jul 1997,150000000,UTAMA
368,LPIN,Multi Prima Sejahtera Tbk PT,05 Feb 1990,425000000,PENGEMBANGAN
369,LPKR,Lippo Karawaci Tbk PT,28 Jun 1996,70898018369,UTAMA
370,LPLI,Star Pacific Tbk PT,23 Okt 1989,1170432803,PENGEMBANGAN
371,LPPF,Matahari Department Store Tbk PT,10 Okt 1989,2804883280,Utama
372,LPPS,Lippo Securities Tbk PT,28 Mar 1994,2588250000,PENGEMBANGAN
373,LRNA,Eka Sari Lorena Transport Tbk PT,15 Apr 2014,350000022,PENGEMBANGAN
374,LSIP,PT Perusahaan Prkbn Lndn Smtr Indnsa Tbk,05 Jul 1996,6822863965,UTAMA
375,LTLS,Lautan Luas,21 Jul 1997,1560000000,Utama
376,LUCK,Sentral Mitra Informatika Tbk PT,28 Nov 2018,715749640,PENGEMBANGAN
377,MABA,Marga Abhinaya Abadi Tbk PT,22 Jun 2017,15365229912,PENGEMBANGAN
378,MAGP,MAGPLANE TECY I/SH,16 Jan 2013,9000000004,PENGEMBANGAN
379,MAIN,Main Street Capital Corporation,10 Feb 2006,2238750000,UTAMA
380,MAMI,Mas Murni Indonesia Tbk PT,09 Feb 1994,12299116331,PENGEMBANGAN
381,MAPA,MAP Aktif Adiperkasa Tbk PT,05 Jul 2018,2850400000,PENGEMBANGAN
382,MAPB,Map Boga Adiperkasa Tbk PT,21 Jun 2017,2170922900,PENGEMBANGAN
383,MAPI,Mitra Adiperkasa Tbk PT,10 Nov 2004,16600000000,UTAMA
384,MARI,PT Mahaka Radio Integra Tbk,11 Feb 2016,5252644000,PENGEMBANGAN
385,MARK,Remark Holdings Inc,12 Jul 2017,3800000310,PENGEMBANGAN
386,MASA,Multistrada Arah Sarana Tbk PT,09 Jun 2005,9182946945,UTAMA
387,MAYA,Bank Mayapada Internasional Tbk PT,29 Ags 1997,6313147533,UTAMA
388,MBAP,Mitrabara Adiperdana Tbk PT,10 Jul 2014,1227271952,PENGEMBANGAN
389,MBSS,Mitrabahtera Segara Sejati Tbk PT,06 Apr 2011,1750026639,UTAMA
390,MBTO,Martina Berto Tbk PT,13 Jan 2011,1070000000,UTAMA
391,MCAS,M Cash Integrasi PT,01 Nov 2017,867933300,PENGEMBANGAN
392,MCOR,Morningstar US Core Index,03 Jul 2007,16465148150,UTAMA
393,MDIA,Intermedia Capital Tbk PT,11 Apr 2014,39215538400,UTAMA
394,MDKA,PT Merdeka Copper Gold Tbk,19 Jun 2015,21897591650,PENGEMBANGAN
395,MDKI,Emdeki Utama Tbk PT,25 Sep 2017,2530150002,PENGEMBANGAN
396,MDLN,Modernland Realty Tbk PT,18 Jan 1993,12533067322,UTAMA
397,MDRN,Modern Internasional Tbk PT,16 Jul 1991,7632167798,UTAMA
398,MEDC,Medco Energi Internasional Tbk PT,12 Okt 1994,17844051744,UTAMA
399,MEGA,Bank Mega Tbk,17 Apr 2000,6894138227,UTAMA
400,MERK,Merck,23 Jul 1981,448000000,PENGEMBANGAN
401,META,National Access Cannabis Corp,18 Jul 2001,17710708194,UTAMA
402,MFIN,Medallion Financial Corp,06 Sep 2005,2650000000,Pengembangan
403,MFMI,Multifiling Mitra Indonesia Tbk PT,29 Des 2010,757581000,PENGEMBANGAN
404,MGNA,Magna Investama Mandiri Tbk PT,07 Jul 2014,1003080977,PENGEMBANGAN
405,MGRO,Morningstar US Growth Index,12 Jul 2018,3518438000,UTAMA
406,MICE,Multi Indocitra Tbk PT,02 Nov 2005,600000000,PENGEMBANGAN
407,MIDI,Midi Utama Indonesia Tbk PT,30 Nov 2010,2882353000,PENGEMBANGAN
408,MIKA,Mitra Keluarga Karyasehat Tbk PT,24 Mar 2015,14246349500,Utama
409,MINA,Synlogic Inc,28 Apr 2017,6562500000,PENGEMBANGAN
410,MIRA,Mirada Plc,30 Jan 1997,3961452039,PENGEMBANGAN
411,MITI,Mitra Investindo Tbk PT,16 Jul 1997,1411550800,PENGEMBANGAN
412,MKNT,Mitra Komunikasi Nusantara Tbk PT,26 Okt 2015,5000000000,PENGEMBANGAN
413,MKPI,Metropolitan Kentjana Tbk PT,10 Jul 2009,948194000,PENGEMBANGAN
414,MLBI,Multi Bintang Indonesia Tbk PT,17 Jan 1994,2107000000,UTAMA
415,MLIA,Mulia Industrindo Tbk PT,17 Jan 1994,1323000000,PENGEMBANGAN
416,MLPL,Multipolar Tbk PT,06 Nov 1989,14639632470,UTAMA
417,MLPT,Multipolar Technology Tbk PT,08 Jul 2013,1875000000,UTAMA
418,MMLP,Martin Midstream Partners LP,12 Jun 2015,6889134608,PENGEMBANGAN
419,MNCN,Media Nusantara Citra Tbk PT,22 Jun 2007,14276103500,UTAMA
420,MOLI,Molinos Rio de la Plata Class B,30 Ags 2018,2334888498,PENGEMBANGAN
421,MPMX,Mitra Pinasthika Mustika Tbk PT,29 Mei 2013,4462963276,UTAMA
422,MPOW,MegaPower Makmur Tbk PT,05 Jul 2017,816997053,PENGEMBANGAN
423,MPPA,Matahari Putra Prima Tbk PT,21 Des 1992,7529147920,UTAMA
424,MPRO,Maha Properti Indonesia Tbk PT,09 Okt 2018,9942500000,Pengembangan
425,MRAT,Mustika Ratu Tbk PT,27 Jul 1995,428000000,UTAMA
426,MREI,Maskapai Reasuransi Indonesia Tbk PT,04 Sep 1989,517791681,PENGEMBANGAN
427,MSIN,MNC Studios International Tbk PT,08 Jun 2018,5202000000,Pengembangan
428,MSKY,MNC SKY Vision Tbk PT,09 Jul 2012,1994370480,Utama
429,MTDL,Metrodata Electronics Tbk PT,09 Apr 1990,2455376917,UTAMA
430,MTFN,Capitalinc Investment Tbk PT,16 Apr 1990,31842082852,PENGEMBANGAN
431,MTLA,Motorola Solutions Inc,20 Jun 2011,7655126330,UTAMA
432,MTPS,Meta Epsi Tbk PT,10 Apr 2019,2084097558,PENGEMBANGAN
433,MTRA,Mitra Pemuda Tbk PT,10 Feb 2016,770000000,PENGEMBANGAN
434,MTSM,Metro Realty Tbk PT,08 Jan 1992,232848000,PENGEMBANGAN
435,MTWI,Malacca Trust Wwngn Insrnc Tbk PT,11 Okt 2017,1525819116,PENGEMBANGAN
436,MYOH,Samindo Resources Tbk PT,27 Jul 2000,2206312500,UTAMA
437,MYOR,Mayora Indah Tbk PT,04 Jul 1990,22358699725,UTAMA
438,MYRX,Myrexis Inc,31 Okt 1990,86703220792,PENGEMBANGAN
439,MYTX,Asia Pacific Investama Tbk PT,10 Okt 1989,7747281949,UTAMA
440,NASA,Nasstar Plc,07 Ags 2017,11004929322,Pengembangan
441,NATO,Nusantara Properti International Tbk PT,18 Jan 2019,8000949100,PENGEMBANGAN
442,NELY,Pelayaran Nelly Dwi Putri Tbk PT,11 Okt 2012,2350000000,PENGEMBANGAN
443,NFCX,NFC Indonesia Tbk PT,12 Jul 2018,666667500,PENGEMBANGAN
444,NICK,Nicholas Financial  Inc,02 Mei 2018,651150000,PENGEMBANGAN
445,NIKL,GK Resources Ltd,14 Des 2009,2523350000,UTAMA
446,NIPS,Nipress Tbk PT,24 Jul 1991,1635333332,PENGEMBANGAN
447,NIRO,PT City Retail Developments Tbk,13 Sep 2012,22198871804,PENGEMBANGAN
448,NISP,Bank OCBC NISP Tbk PT,20 Okt 1994,22715776032,UTAMA
449,NOBU,Bank Nationalnobu Tbk PT,20 Mei 2013,4393533177,UTAMA
450,NRCA,Nusa Raya Cipta Tbk PT,27 Jun 2013,2496258344,UTAMA
451,NUSA,NUSHARES ETF TR/ENHANCED YIELD 1-5,12 Jul 2018,7700000110,PENGEMBANGAN
452,NZIA,Nusantara Almazia Tbk PT,25 Sep 2019,2197538000,Utama
453,OASA,Protech Mitra Perkasa Tbk PT,18 Jul 2016,358600000,PENGEMBANGAN
454,OCAP,ONIX CAPITAL Tbk PT,10 Nov 2003,273200000,PENGEMBANGAN
455,OKAS,Ancora Indonesia Resources Tbk PT,29 Mar 2006,1765927777,PENGEMBANGAN
456,OMRE,Indonesia Prima Property Tbk PT,22 Ags 1994,1745000000,PENGEMBANGAN
457,OPMS,Optima Prima Metal Sinergi Tbk PT,23 Sep 2019,1000000000,Pengembangan
458,PADI,Minna Padi Investama Sekuritas Tbk PT,09 Jan 2012,11307246524,UTAMA
459,PALM,Provident Agro Tbk PT,08 Okt 2012,7119540356,PENGEMBANGAN
460,PAMG,Bima Sakti Pertiwi Tbk PT,05 Jul 2019,3125000000,UTAMA
461,PANI,Pratama Abadi Nusa Industri Tbk PT,18 Sep 2018,410000000,PENGEMBANGAN
462,PANR,Pantheon Resources Plc,01 Jan 1950,1200000000,UTAMA
463,PANS,PT Panin Sekuritas Tbk,31 Des 2000,720000000,UTAMA
464,PBID,Panca Budi Idaman Tbk PT,13 Des 2017,1875000000,PENGEMBANGAN
465,PBRX,Pan Brothers Tbk PT,16 Ags 1990,6478295611,UTAMA
466,PBSA,Paramita Bangun Sarana Tbk PT,28 Sep 2016,1500000000,UTAMA
467,PCAR,PACCAR Inc,29 Des 2017,1166666700,PENGEMBANGAN
468,PDES,Destinasi Tirta Nusantara Tbk PT,08 Jul 2008,715000000,PENGEMBANGAN
469,PEGE,Panca Global Kapital Tbk PT,24 Jun 2005,2833417056,PENGEMBANGAN
470,PEHA,PHAPROS ORD,01 Jan 1911,840000000,
471,PGAS,Petrogress Inc,15 Des 2003,24241508196,UTAMA
472,PGLI,Pembangunan Graha Lestari Indah Tbk PT,05 Apr 2000,488000000,PENGEMBANGAN
473,PICO,Pico Holdings Inc,23 Sep 1996,568375000,PENGEMBANGAN
474,PJAA,Pembangunan Jaya Ancol Tbk PT,02 Jul 2004,1599999996,UTAMA
475,PKPK,Perdana Karya Perkasa Tbk PT,11 Jul 2007,600000000,PENGEMBANGAN
476,PLAS,Polaris Investama Tbk PT,16 Mar 2001,1184200000,PENGEMBANGAN
477,PLIN,China Xiangtai Food Co Ltd,15 Jun 1992,3550000000,UTAMA
478,PNBN,Bank Pan Indonesia Tbk PT,29 Des 1982,23837645998,UTAMA
479,PNBS,Bank Panin Dubai Syariah Tbk PT,15 Jan 2014,23719447472,UTAMA
480,PNIN,Paninvest Tbk PT,20 Sep 1983,4068323920,UTAMA
481,PNLF,Panin Financial Tbk PT,14 Jun 1993,32022073293,UTAMA
482,PNSE,Pudjiadi And Sons Tbk PT,01 Mei 1990,797813496,PENGEMBANGAN
483,POLA,Polar Power Inc,16 Nov 2018,2727779200,PENGEMBANGAN
484,POLI,Pollux Investasi Internasional Tbk PT,10 Jan 2019,2010526400,PENGEMBANGAN
485,POLL,Polledo SAIC y F,11 Jul 2018,8318823600,UTAMA
486,POLU,Golden Flower Tbk PT,26 Jun 2019,750000000,PENGEMBANGAN
487,POLY,Polymetal International PLC,12 Mar 1991,2495753334,PENGEMBANGAN
488,POOL,Pool Corporation,20 Mei 1991,2341366164,PENGEMBANGAN
489,PORT,Nusantara Pelabuhan Handal Tbk,16 Mar 2017,2813941985,Pengembangan
490,POSA,Bliss Properti Indonesia PT,10 Mei 2019,8388870000,PENGEMBANGAN
491,POWR,Cikarang Listrindo Tbk PT,14 Jun 2016,16087156000,UTAMA
492,PPRE,PP Presisi Tbk PT,24 Nov 2017,10224271000,UTAMA
493,PPRO,PP Properti Tbk PT,19 Mei 2015,61675671883,UTAMA
494,PRAS,Prima Alloy Steel Universal Tbk PT,12 Jul 1990,701043478,UTAMA
495,PRDA,Prodia Widyahusada Tbk PT,07 Des 2016,937500000,PENGEMBANGAN
496,PRIM,Primoris Services Corp,15 Mei 2018,3393432605,PENGEMBANGAN
497,PSAB,J Resources Asia Pasifik Tbk PT,22 Apr 2003,26460000000,Pengembangan
498,PSDN,Prasidha Aneka Niaga Tbk PT,18 Okt 1994,1440000000,PENGEMBANGAN
499,PSKT,Red Planet Indonesia Tbk PT,19 Sep 1995,10351231636,PENGEMBANGAN
500,PSSI,Pelita Samudera Shipping Tbk PT,05 Des 2017,5417063153,PENGEMBANGAN
501,PTBA,Bukit Asam Tbk PT,23 Des 2002,11520659250,UTAMA
502,PTIS,Indo Straits Tbk PT,12 Jul 2011,550165300,UTAMA
503,PTPP,Pembangunan Perumahan (Persero) Tbk PT,09 Feb 2010,6199897354,UTAMA
504,PTRO,Petrominerals Corporation,21 Mei 1990,1008605000,Utama
505,PTSN,Sat Nusapersada Tbk PT,08 Nov 2007,5314344000,UTAMA
506,PTSP,Pioneerindo Gourmet International Tbk PT,30 Mei 1994,220808000,PENGEMBANGAN
507,PUDP,Pudjiadi Prestige Tbk PT,18 Nov 1994,329560000,UTAMA
508,PURE,Pure Bioscience  Inc Common Stock,09 Okt 2019,1333333500,Utama
509,PWON,Powin Energy Corp,09 Okt 1989,48159602400,UTAMA
510,PYFA,Pyridam Farma Tbk PT,16 Okt 2001,535080000,Pengembangan
511,PZZA,Papa John's Int'l  Inc,23 Mei 2018,3021875000,UTAMA
512,RAJA,Rukun Raharja Tbk PT,19 Apr 2006,4227082500,UTAMA
513,RALS,PROSHARES TR/RAFI LONG SHORT FD,24 Jul 1996,7096000000,UTAMA
514,RANC,Supra Boga Lestari Tbk PT,07 Jun 2012,1564487500,UTAMA
515,RBMS,Ristia Bintang Mahkotasejati Tbk PT,19 Des 1997,2656212826,UTAMA
516,RDTX,Roda Vivatex Tbk PT,14 Mei 1990,268800000,UTAMA
517,RELI,Reliance Global Group Inc,13 Jul 2005,1800000000,UTAMA
518,RICY,Ricky Putra Globalindo Tbk PT,22 Jan 1998,641717510,UTAMA
519,RIGS,ALPS ETF TR/RIVERFRONT STRATEGI,26 Mar 1990,609130000,PENGEMBANGAN
520,RIMO,PT Rimo International Lestari Tbk,10 Nov 2000,45080600000,PENGEMBANGAN
521,RISE,ETF MANAGERS GR/SIT RISING RATE ETF,09 Jul 2018,9950000000,UTAMA
522,RMBA,Bentoel Internasional Investama Tbk PT,05 Mar 1990,36401136250,UTAMA
523,RODA,Pikko Land Development Tbk PT,22 Okt 2001,13592128209,PENGEMBANGAN
524,ROTI,Nippon Indosari Corpindo Tbk PT,28 Jun 2010,6186488888,UTAMA
525,RUIS,Radiant Utama Interinsco Tbk PT,12 Jul 2006,770000000,PENGEMBANGAN
526,SAFE,Safehold Inc,15 Ags 1994,615145012,PENGEMBANGAN
527,SAME,Sarana Meditama Metropolitan Tbk PT,11 Jan 2013,5900000000,PENGEMBANGAN
528,SAPX,Seven Arts Entertainment Inc,03 Okt 2018,833333300,PENGEMBANGAN
529,SATU,Kota Satu Properti Tbk PT,05 Nov 2018,1250000000,PENGEMBANGAN
530,SCBD,Danayasa Arthatama Tbk PT,31 Des 2099,3322092000,PENGEMBANGAN
531,SCCO,Southern Copper Corp,20 Jul 1982,205583400,UTAMA
532,SCMA,Surya Citra Media Tbk PT,16 Jul 2002,14768780301,UTAMA
533,SCPI,Merck Sharp Dohme Pharma Tbk,08 Jun 1990,3600000,PENGEMBANGAN
534,SDMU,Sidomulyo Selaras Tbk PT,12 Jul 2011,1135225000,PENGEMBANGAN
535,SDPC,Millennium Pharmacon Internationl Tbk PT,07 Mei 1990,1274000000,UTAMA
536,SDRA,Bank Woori Saudara Indonesia 1906 Tbk PT,15 Des 2006,6515116991,UTAMA
537,SFAN,Surya Fajar Capital Tbk PT,19 Jun 2019,1062500000,PENGEMBANGAN
538,SGRO,Sierra Growth Corp,18 Jun 2007,1890000000,UTAMA
539,SHID,Hotel Sahid Jaya International Tbk PT,08 Mei 1990,1119326168,PENGEMBANGAN
540,SHIP,Seanergy Maritime Holdings Corp,16 Jun 2016,2719790000,PENGEMBANGAN
541,SIDO,PT Industri Jamu dan Farmasi Sd Mncl Tbk,18 Des 2013,15000000000,Utama
542,SILO,Siloam International Hospitals Tbk PT,12 Sep 2013,1625765625,UTAMA
543,SIMA,Sonics & Materials  Inc,03 Jun 1994,442589871,PENGEMBANGAN
544,SIMP,Salim Ivomas Pratama Tbk PT,09 Jun 2011,15816310000,UTAMA
545,SIPD,Sierad Produce,27 Des 1996,1339102579,PENGEMBANGAN
546,SKBM,Sekar Bumi Tbk PT,05 Jan 1993,1726003217,PENGEMBANGAN
547,SKLT,Sekar Laut Tbk PT,08 Sep 1993,690740500,PENGEMBANGAN
548,SKRN,Superkrane Mitra Utama Tbk PT,11 Okt 2018,1500000000,PENGEMBANGAN
549,SKYB,Northcliff Citranusa Indonesia Tbk PT,07 Jul 2010,585000000,PENGEMBANGAN
550,SLIS,GAYA ABADI SEMPUR ORD,07 Okt 2019,2000000000,Pengembangan
551,SMAR,Smartsheet Inc,20 Nov 1992,2872193366,PENGEMBANGAN
552,SMBR,Semen Baturaja (Persero) Tbk PT,28 Jun 2013,9932534336,UTAMA
553,SMCB,Solusi Bangun Indonesia Tbk PT,10 Ags 1977,7662900000,UTAMA
554,SMDM,Singing Machine Company common stock,12 Okt 1995,4772138237,PENGEMBANGAN
555,SMDR,Samudera Indonesia Tbk PT,05 Des 1999,3275120000,UTAMA
556,SMGR,Semen Indonesia (Persero) Tbk PT,08 Jul 1991,5931520000,UTAMA
557,SMKL,Satyamitra Kemas Lestari Tbk PT,11 Jul 2019,3400000000,UTAMA
558,SMMA,Sinar Mas Multiartha Tbk PT,05 Jul 1995,6367664717,UTAMA
559,SMMT,SUMMIT THERAPEU/S ADR,01 Des 2007,3150000000,PENGEMBANGAN
560,SMRA,Summarecon Agung Tbk PT,07 Mei 1990,14426781680,Utama
561,SMRU,AMUNDI ISOL-EGL/USD,10 Okt 2011,12499385782,PENGEMBANGAN
562,SMSM,Selamat Sempurna Tbk PT,09 Sep 1996,5758675440,UTAMA
563,SOCI,Soechi Lines Tbk PT,03 Des 2014,7059000000,UTAMA
564,SONA,Southern National Banc of Virginia  Inc,12 Jul 1992,331200000,PENGEMBANGAN
565,SOSS,Shield On Service Tbk PT,06 Nov 2018,655617805,PENGEMBANGAN
566,SOTS,Satria Mega Kencana Tbk PT,10 Des 2018,1000000005,PENGEMBANGAN
567,SPMA,Suparma Tbk PT,16 Nov 1994,2114570958,UTAMA
568,SPTO,Surya Pertiwi Tbk PT,14 Mei 2018,2700000000,PENGEMBANGAN
569,SQMI,Renuka Coalindo Tbk PT,15 Jul 2004,15537591429,PENGEMBANGAN
570,SRAJ,Sejahteraraya Anugrahjaya Tbk PT,11 Apr 2011,12000705445,UTAMA
571,SRIL,ISHS IV/SHS CL-USD DIST USD,17 Jun 2013,20452176844,UTAMA
572,SRSN,STRATEGIC RESOU/SH,11 Jan 1993,6020000000,UTAMA
573,SRTG,Saratoga Investama Sedaya Tbk PT,26 Jun 2013,2712967000,PENGEMBANGAN
574,SSIA,Surya Semesta Internusa Tbk PT,27 Mar 1997,4705249440,UTAMA
575,SSMS,PT Sawit Sumbermas Sarana Tbk,12 Des 2013,9525000000,UTAMA
576,SSTM,Sunson Textile Manufacturer Tbk PT,20 Ags 1997,1170909181,PENGEMBANGAN
577,STAR,istar Inc,13 Jul 2011,4800000602,UTAMA
578,STTP,Siantar Top Tbk PT,16 Des 1996,1310000000,PENGEMBANGAN
579,SUGI,Sugih Energy Tbk PT,19 Jun 2002,24811541414,PENGEMBANGAN
580,SULI,SLJ Global Tbk PT,21 Mar 1994,3986916802,Utama
581,SUPR,Supermarket Income REIT PLC,11 Okt 2011,1137579698,PENGEMBANGAN
582,SURE,Sure Ventures PLC,05 Okt 2018,1497576771,PENGEMBANGAN
583,SWAT,Sriwahana Adityakarta Tbk PT,08 Jun 2018,3019200000,PENGEMBANGAN
584,TALF,Tunas Alfin Tbk PT,17 Jan 2014,1353435000,PENGEMBANGAN
585,TAMU,Pelayaran Tamarin Samudra Tbk PT,10 Mei 2017,37500000000,PENGEMBANGAN
586,TARA,Sitara Propertindo Tbk PT,11 Jul 2014,10069645750,UTAMA
587,TAXI,Express Transindo Utama Tbk PT,02 Nov 2012,6145600000,UTAMA
588,TBIG,Tower Bersama Infrastructure Tbk PT,26 Okt 2010,4531399889,UTAMA
589,TBLA,Tunas Baru Lampung Tbk PT,14 Feb 2000,5342098939,Utama
590,TBMS,Tembaga Mulia Semanan Tbk PT,30 Sep 1993,367340000,PENGEMBANGAN
591,TCID,Telekomunikasi Indonesia (Persero) TbkPT,30 Sep 1993,201066667,UTAMA
592,TCPI,Transcoal Pacific Tbk PT,06 Jul 2018,5000000000,PENGEMBANGAN
593,TDPM,Tridomain Performance Materials Tbk PT,09 Apr 2018,10485050500,UTAMA
594,TELE,SSGA SPDR II/SHS USD,12 Jan 2012,7302194889,Utama
595,TFAS,Telefast Indonesia Tbk PT,17 Sep 2019,1666666500,Pengembangan
596,TFCO,Tifico Fiber Indonesia Tbk PT,26 Feb 1980,4823076400,PENGEMBANGAN
597,TGKA,Tigaraksa Satria Tbk PT,11 Jun 1990,918492750,PENGEMBANGAN
598,TGRA,PT Terregra Asia Energy Tbk,16 Mei 2017,2750000000,UTAMA
599,TIFA,Tifa Finance Tbk PT,08 Jul 2011,1079700000,PENGEMBANGAN
600,TINS,Timah Tbk PT,19 Okt 1995,7447753454,Utama
601,TIRA,Tira Austenite Tbk PT,27 Jul 1993,588000000,PENGEMBANGAN
602,TIRT,Tirta Mahakam Resources Tbk PT,13 Des 1999,1011774750,UTAMA
603,TKIM,Pabrik Kertas Tjiwi Kimia Tbk PT,03 Apr 1990,3113223570,UTAMA
604,TLKM,Telekomunikasi Indonesia (Persero) TbkPT,14 Nov 1995,99062216600,UTAMA
605,TMAS,PT Temas Tbk,09 Jul 2003,5705150000,Utama
606,TMPI,Sigmagold Inti Perkasa Tbk PT,26 Jan 1995,5502083747,UTAMA
607,TMPO,Tempo Inti Media Tbk PT,08 Jan 2001,1058333250,PENGEMBANGAN
608,TNCA,PT Trimuda Nuansa Citra Tbk,28 Jun 2018,421640000,PENGEMBANGAN
609,TOBA,Toba Bara Sejahtra Tbk PT,06 Jul 2012,8049964000,UTAMA
